time,pvPower,ldPower
2025-04-03 23:04,0,0.218
2025-04-03 23:08,0,0.217
2025-04-03 23:13,0,0.747
2025-04-03 23:17,0,0.212
2025-04-03 23:22,0,0.782
2025-04-03 23:26,0,0.26
2025-04-03 23:35,0,0.253
2025-04-03 23:40,0,0.259
2025-04-03 23:44,0,0.257
2025-04-03 23:49,0,0.231
2025-04-03 23:53,0,0.212
2025-04-03 23:58,0,0.212
